MODERN-STANDARD-ARABIC,ALGIERS,ANNABA,SYRIAN,PALESTINIAN
Almst$fY yDm mwZfyn mn kl AlbldAn mn >wrwbA mn <fryqyA w kAnt ElAqty bhm ElAqp Eml,AlsbyTAr fyh AlxdAmyn mn kl blAd mn lwrwb mn blAd tAE lkHAl$ w kAnt lArwlAsywn tAEy mEAhm tAE xdmp,AlsbyTAr fyh AlxdAmp mn kl blAd mn lwrwb mn blAd tAE AlkHAl$ w kAnt lArwlAsywn tyEy mEAhm tAE xdmp,Alm$fY fyh mwZfyn mn kl Aldwl mn >wrwbA w >fryqyA w kAnt ElAqty fywn ElAqp Eml,Almst$fY fyh mwZfyn mn kl AlbldAn mn >wrwbA mn <fryqyA w kAnt ElAqty fyhm ElAqp $gl
w fy >Hd Al>yAm qrr >Hd Al>TbA' AlbryTAnyyn Alsfr <lY blAdh lAnthA' mdp Emlh mEnA,wHd AlnhAr dysydA wHd AlTbyb mn lAﻧqﻠﻴﺰ bA$ yrwH lblAdw ElAxATr$ xlASt lkwntrA tAEw mEAnA,wHd AlnhAr dysydA wHd AlTbyb mn lAﻧqlyz bAh yrwH lblAdh xATrmAk$ fDt AlkwntrA tyEw mEAnA,Alm$fY fyh mwZfyn mn kl Aldwl mn >wrwbA w >fryqyA w kAnt ElAqty fywn ElAqp Eml,w fy ywm mn Al>yAm qrr wAHd mn AldkAtrp AlbryTAnyyn ysAfr lbldh l>nh xlS mdp $glh mEAnA
fkrnA fy <qAmp Hfl wdAE lh w HddnA Hdyqp Almst$fY kmkAn l<qAmp AlHfl,xmmnA bA$ ndyrwlw Hflp bA$ nwdEwh bﺮysyzynA lblASp tAE AlHflp fy Aljnynp tAE AlsbyTAr,xmmnA ndyrwA lh Hflp bAh nwdEwh bﺮysyzynA Aljnynp tAE sbyTAr AlblASp tAE AlHflp,w lmrp qrr Tbyb bryTAny ysAfr E bldw l>nw mdp Emlw mEnA Antht,w fy ywm mn Al>yAm qrr wAHd mn AldkAtrp AlbryTAnyyn ysAfr lbldh l>nh xlS mdp $glh mEAnA
HDrnA kl $y'،  A$trynA AlHlwyAt w Alm$rwbAt,wjdnA kl$ $rynA AﻟqﺎTw w Alـqﺎzwz,wjdnA kl$ $rynA AﻟqﺎTw w lymwnAd,fkrnA nsAwylw Hflp wdAE w Atf}nA nsAwy AlHflp bjnynp Alm$fY,fkrnA nEmlh Hfl wdAE w HddnA jnynp Almst$fY kmkAn lnEml fyhA AlHflp
w lkn Al>mr Al*y knt >fkr fyh hw mA hy Alhdyp Alty s>qdmhA lh,bSH Al$y ly knt nxmm fyh wA$ hw AlkAdw ly nmdhwlw,wjdnA kl$ $rynA AﻟqﺎTw w lymwnAd,HD~rnA kl $y w A$trynA AlHlw w Alm$rwb,HDrnA kl A$y A$trynA AlHlwyAt w Alm$rwbAt
h*A AlTbyb yhwY jmE AlqTE Altqlydyp,bSH Al$y ly knt nxmm fyh wA$ hw AlkAdw ly nmdhwlw,bSH Al$y Ally knt nxmm fyh w$ hw AlkAdw Ally rAH nmdh lh,bs Al$y Ally knt Em fkr fyh >nw $w bdy jblw hdyp,bs Al$glp Ally knt >fkr fyhA Ay$ Alhdyp Ally H>qdmlh AyAhA
h*A AlTbyb yhwY jmE AlqTE Altqlydyp,AlTbyb hAdA yHb yTm lHwAyj trAdsywnAl,AlTbyb >dA yHb ylm AlHwAyj trAdsywnAl,hAlTbyb hAwy jmE qTE tqlydyp,h*A Aldktwr gAwy jmE AlqTE Altqlydyp
AqtrH Ely Abn Emy >n ﺃ$try lh mSHfA >w ktAbA ytHdv En Al<slAm,dbr ElyA wlyd Emy n$rylw mSHf wlA ktAb yhdr ElY Al<slAm,dbr ElyA wld Emy n$ry lh mSHf wlA ktAb yhdr ElY Al<slAm,AqtrH Elyy Abn Emy >nw A$trylw mSHf >w ktAb byHky En Al<slAm,AqtrH ElyA Abn Emy Any >$trylh mSHf >w ktAb byHky En Al<slAm
fy Algd ، EndmA *hbt l>bHv  EmA >$try lh ، wjdt ktAbA  bAl<njlyzyp ytHdv En Al<slAm,rHt gdwp bA$ n$wf wA$ n$rylw ﻟqyt wAHd lktAb yhdr ElY Al<slAm blwﻧqly,Alg*wp kymA rHt bAh n$wf w$ n$ry lh ﻟqﻴﺖ ktAb yhdr ElY Al<slAm blwﻧqly,tAny ywm lmA rHt l$wf $w bdy A$trylw lAqyt ktAb byHky En Al<slAm bAlAnklyzy,tAny ywm lmA rHt >$wf Ay$ bdy A$trylh lqyt ktAb byHky En Al<slAm bAl<njlyzyp
rnt klmAt Abn Emy fy >*ny،  fqrrt >n >$tryh xASpF >nh lm ykn gAly Alvmn,tfkrt Alhdrp tAE wlyd Emy qlt n$ryh kAn ﻟﭙﺮy tAEw mA$y gAly,jAtny Alhdrp tAE wld Emy fy wdny qﻠﺖ n$ryh syrtw Anh ﻟﭙﺮy tyEh m$ gAly,Tn~ klAm Abn Emy b>dny w qrrt >$tryh xSwSy >nw mA kAn gAly,rnt klmAt Abn Emy fy dAny fqrrt Any >$tryh xASp Anh Hqh m$ gAly
>x*t AlktAb  w AlHfl kAn mmtEA،  ﺃETyth Alhdyp w bEdhA sAfr SAHbnA AlTbyb,Adyt lktAb jAzt AlHflp byAn mdytlw lkAdw >wmbEd rAH SAHbnA AlTbyb,dyt AlktAb EdAt AlHflp ElY Alkyf mdyt lh AlkAdw w bEdhA rwH SHybnA AlTbyb,Tn~ klAm Abn Emy b>dny w qrrt >$tryh xSwSy >nw mA kAn gAly,>x*t AlktAb wAlHfl kAn mnyH >ETyth Alhdyp w bEdhA sAfr SAHbnA Aldktwr
mrt Al>yAm w Al$hwr bsrEp،  tzwjt w rzqt TflA,jAzt lyAm w Al$hwr bAlxf zwjt w jbt wld,EdAt AlAyAm w Al$hwr bzrbp zwzt w jbt Tfl,>xdt AlktAb mrt AlHflp ElY xyr w ETytw Alhdyp w sAfr bEdA SAHbnA Aldktwr,>x*t AlktAb wAlHfl kAn mnyH >ETyth Alhdyp w bEdhA sAfr SAHbnA Aldktwr
*At ywm wSltny rsAlp mn bryTAnyA ، qr>thA btmhl ، kAnt bAl<njlyzyp،  mbd}yAF fhmt AlbED mn mHtwAhA w AlbED Al|xr lm >fhmh,wAHd AlnhAr wSltny bryp mn lAﻧqﻠﻴﺰ Hlyt lbryp qrythA kAnt mktwbp blwﻧqﻠﻲ brwmyArmwn fhmt $wyp mn kwntynw tAEhA w $wyp mA fhmtw$,wHd AlnhAr wSltny bryp mn lAﻧqlyz Hlyt Albryp qrythA bAlEql kAnt mktwbp blwﻧqly dAbwr fhmt $wyp mn kwntynw tyEhA w $wyp mA fhmtw$,mrt Al>yAm w Al$hwr bsrEp w tzwjt w SAr Endy wld,mrt Al>yAm w Al$hwr bsrEp tjwzt w rbnA >ETAny wld
Erft >nhA mn Sdyq qdym Eml mEnA mn qbl,Erft bly jAtny mn SAHby lqdym ly xdm mEAnA qbl,wHd AlnhAr wSltny bryp mn lAﻧqlyz Hlyt Albryp qrythA bAlEql kAnt mktwbp blwﻧqly dAbwr fhmt $wyp mn kwntynw tyEhA w $wyp mA fhmtw$,bywm mn Al>yAm wSltny rsAlp mn bryTAnyA qrytA E mhl kAnt bAlAnklyzy mbd}yA~ fhmt $wy mn~A w fy $y mA fhmtw,wfy ywm wSltny rsAlp mn bryTAnyA qrythA ElY mhl kAnt bAl<njlyzy bAl>wl fhmt $wy mnhA w $wy mA fhmtw$
ywm b>kmlh w ﺃnA >HAwl >n >t*kr  ، >wl mrp >smE Asmh,Erft bly jAtny mn SAHby lqdym ly xdm mEAnA qbl,Erft bAlly jAtny mn SAHb qdym xdm mEAnA qbl,Erft >n~A mn Sdyq qdym A$tgl mEnA mn qbl,Erft AnhA mn SAHb qdym A$tgl mEAnA qbl hyk
ywm b>kmlh w ﺃnA >HAwl >n >t*kr  ، >wl mrp >smE Asmh,nhAr kAml w >nA ntfkr >wl mrp nsmE <smw,nhAr kAml w >nA ntfkr >wl mrp nsmE <smh,ywm kAml w >nA Em At*kr >wl mrp bsmE fy~A b<smw,Twl Alywm w >nA >t*kr >wl mrp >smE Asmh
>glqt AlrsAlp، HAwlt mjddA >n >t*kr w lknny Ejzt En t*kr >y $xS bh*A AlAsm ، ftHt AlrsAlp mrp >xrY wZlt  >qr>hA bhdw',glqt lbryp syyt nzyd ntfkr bSH mA tfkrt$ HtY wAHd <smw kymA hkA Hlyt lbryp mrp wHdxrA w qrythA bAl$wyp,qflt Albryp jrbt nzyd ntfkr bSH mA tfkrt HtY wAHd <smh kymA hkA Hlyt Albryp mrp AxrY w qEdt nqrbAl$wyp,sk~rt AlrsAlp w HAwlt mrp tAnyp >t*kr bs mA t*krt >y HdA bhAlAsm ftHt AlrsAlp mrp tAnyp w rjEt >}rAhA E mhl,skrt AlrsAlp HAwlt mn jdyd Any >t*kr bs Ejzt Any At*kr >y HdA bh*A AlAsm ftHt AlrsAlp mrp tAnyp wDlyt >qrAhA b$wy$
lqd ysr Allh ly Al<slAm w hdAny ElY ydyk ، ln >nsY SdAqtk ly w s>dEw lk,rby shly Aldyn w hdAny ElY ydyk mA nsyt$ AlSHbp tAEy mEAk dwk ndEylk,rby shl ly Al<slAm w hdAny ElY ydyk mA nsyt$ SHbtk lyA rAH ndEy lk,Allh ys~rly Al<slAm w hdAny ElY <ydyk w mA rH >nsY SHbtk w rH AdEylk,rbnA ysrly Al<slAm w hdAny ElY Aydyk m$ H>nsY SdAqtk <ly w rAH >dEylk
>t*kr AlktAb Al*y >hdytny End Ewdty ﺇlY bryTAnyA ، lqd qr>th w ﺃrdt qrA'p Almzyd En Al<slAm,rAny ntfkr lktAb ly jbthwly ky knt mwly lAﻧqlyz rAny qrytw w Hbyt nzyd nqrY blws ElY Al<slAm,rAny ntfkr AlktAb Ally jbth ly ky Edt mrwH lAﻧqlyz rAny qryth w Hbyt nzyd nqrY blys ElY Al<slAm,bt*kr AlktAb Ally hdytny yAh ywm rjEt E bryTAnyA qrytw w SAr bdy >qrA >ktr En Al<slAm,b>t*kr AlktAb Ally >hdytny <yAh End rjEty lbryTAnyA qryth w bdy >qr> kmAn En Al<slAm
w btwfyq Allh wjdt ElY glAfh EnwAn nA$r AlktAb،  frAslth l>Tlb Almzyd f>rslwA ly mA Tlbt,w bqdrp rby ﻟqyt fy AlglAf tAEw lAdrAs tAE ly n$r AlktAb bEtlw bryp bA$ ndwmndy zyAdp bEtwly wA$ Hbyt,w bqdrp rby ﻟqﻴﺖ fy AlglAf tyEh lAdrAs tAE Ally n$r AlktAb bEtlh bryp bAh ndwmndy AlzyAdp bEtwA ly w$ Hbyt,bt*kr AlktAb Ally hdytny yAh ywm rjEt E bryTAnyA qrytw w SAr bdy >qrA >ktr En Al<slAm,w btwfyq Allh lqyt ElY glAfh EnwAn nA$r AlktAb frAslth E$An >Tlb kmAn fbEtwly Ally Tlbth
*hbt llmrkz Al<slAmy w >Elnt <slAmy w gyrt Asmy <lY Asmk l>nk SAHb AlfDl bEd Allh sbHAnh w s>*hb  <lY mkp l>Hj An $A' Allh,rHt lswntr tAE Al<slAm w $hdt w bdlt |smy kymA |smk ElAxATr$ hAdy mzytk bEd rby sbHAnw w dwk nrwH lmkp nHj n$A Allh,rHt llswntr Al<slAmy w $hdt w bdlt Asmy kymA Asmk xATrmAk$ >dy mzytk bEd rby sbHAnh w drk njy lmkp nHj n$A Allh,w btwfyq mn Allh lAqyt E glAfw EnwAn nA$r AlktAb qmt rAsltw l>Tlb mnw bEd fbEtwly Ally Tlbtw,w btwfyq Allh lqyt ElY glAfh EnwAn nA$r AlktAb frAslth E$An >Tlb kmAn fbEtwly Ally Tlbth
>glqt AlrsAlp bsrEp ، >Edt ftHhA  w qr>thA mn jdyd,glqt lbryp bAlzrbp w zdt HlythA EAwdt qrythA >zyrw,qflt Albryp bzrbp w zdt HlythA EAwdt qrythA >zyrw,rHt EAlmrkz Al<slAmy w >Elnt <slAmy w gyrt Asmy ElY Asmk l>nk SAHb AlfDl bEd Allh sbHAnw w rH <jy ElY mkp,rHt llmrkz Al<slAmy w >Elnt <slAmy w gyrt Asmy zy Asmk l>nk SAHb AlfDl bEd Allh sbHAnh w rAH >rwH <lY mkp E$An >Hj An $A' Allh
hztny AlrsAlp ، lm ASdq ، bkyt kvyrA  kyf >n Allh hdY rjlAF <lY Al<slAm ElY ydy,qAstny lbryp mA |mnt$ bkyt bzAf kyfA$ rby hdA rAjl ll<slAm ElY ydy,qflt Albryp bzrbp w zdt HlythA EAwdt qrythA >zyrw,sk~rt AlrsAlp bsrEp w rjE ftHtA w bl~$t AqrAhA mn jdyd,skrt AlrsAlp bsrEp rjEt ftHthA w bdyt >qrAhA mn jdyd
ktAb bmA}p dynAr yhdy $xSA kAfrA ؟ mstHyl,qAstny lbryp mA |mnt$ bkyt bzAf kyfA$ rby hdA rAjl ll<slAm ElY ydy,qﺎstny Albryp mA Sdqt$ bkyt yAsr kyfAh rby hdY rAjl ll<slAm ElY ydy,hztny AlrsAlp mA Sdqt bkyt ktyr kyf Allh hdY zlmp ll<slAm ElY <ydy~,hztny AlrsAlp mA Sdqt$ bkyt ktyr kyf >n Allh hdY rAjl ll<slAm ElY Aydy
ktAb bmA}p dynAr yhdy $xSA kAfrA ؟ mstHyl,ktAb bE$rp lAf yhdy wAHd kAfr ﺳﻴﭙﺎbﻮsybl,ktAb bE$rp lAf yhdy wAHd kAfr ﺳﻴﭙﺎbﻮsybl,ktAb bmyp dynAr byhdy $xS kAfr mstHyl,ktAb ysAwy myp dynAr yhdy $xS kAfr mstHyl
frHt kvyrA >n Allh hdAh ll<slAm،  w Hznt kvyrA l>nny s>lt nfsy : >yn knt fy h*h Alftrp En AlEAmlyn mEy؟  lm >klm >HdA En Al<slAm,frHt bzAf ky rby hdAh w zEft bzAf ElAxATr$ sqsyt rwHy wyn knt fy lAbﻳrywd hAdy kAml mE lxdAmyn ly mEAyA wAHd mA hdrtlw ElY Al<slAm,frHt yAsr bAlly rby hdAh w Hznt yAsr xATrmAk$ sqsyt rwHy wyn knt fy lAbﻳrywd >dy kAml mE AlxdAmp Ally mEAyA wAHd mA hdrt lh ElY Al<slAm,frHt ktyr >nw Allh hdAh ll<slAm w zElt ktyr l>ny s>lt HAly wyn knt kl hAlftrp En AlEAmlyn mEy w mA HAkyt HdA~ mnwn En Al<slAm,frHt ktyr Anh rbnA hdAh ll<slAm w zElt ktyr l>ny s>lt HAly wyn knt fy h*h Alftrp En Ally by$tglwA mEy mA klmt$ HdA En Al<slAm
Hdvthm kvyrA ، mAzHthm kvyrA w lknny lm >Hdvhm En Al<slAm,hdrt mEAhm bzAf tmsxrt mEAhm bzAf bSH jAmy mA hdrtlhm ElY Aldyn,hdrt mEAhm yAsr tmsxrt mEAhm yAsr bSH jAmy mA hdrtlhm ElY Aldyn,HAkytwn ktyr w mAzHtwn ktyr bs mA Hkytl~wn En Al<slAm,Hkyt mEhm ktyr mzHt mEhm ktyr bs mA Hkyt En Al<slAm
fkrt qlylA lw >n kl wAHd ﺃhdY ktAbA wAHdA fqT mA  Al*y syHdv,xmmt $wyp lw kAn kl wAHd ymd ktAb wAHd brk wA$ rAH ySrA,xmmt $wyp lw kAn kl wAHd ymd ktAb wAHd brk w$ rAH ykwn,fkrt $wy lw kl wAHd hdY ktAb wAHd bs $w rH ySyr,fkrt $wy lw Anh kl wAHd >hdY ktAb wAHd bs Ay$ rAH ySyr
>drs fy Alsnp AlrAbEp،  >blg mn AlEmr stp E$rp snp w yryd >by >n yzwjny bAbn Emy،  w >nA lA >rgb fy AlzwAj mnh,nqrY kAtryAm Emry sTA$ nsnA bAbA HAb yzwjny bwlyd Emy w >nA mA$y HAbp nzwj byh,nqrY kAtryAm Any Emry stA$ snp bAbA HAb yzwzny bwld Emy w >nA m$ HAbp nzwz byh,fkrt $wy lw kl wAHd hdY ktAb wAHd bs $w rH ySyr,b>drs fy Alsnp AlrAbEp Emry stTE$r snp >bwy bdw yjwzny lAbn Emy w >nA bdy$ Atjwzh
ﺃby ﺃrgmny ElY AlzwAj mnh dwn ﺃn yst$yrny ، frfDt,bAbA syf ElyA bA$ nzwj byh blAmA ysqsyny mA qblt$,bAbA syf ElyA bAh nzwz byh blA mA y$Awrny mA qblt$,bdrs bAlsnp AlrAbEp w Emry sT~E$ snp w >by bd~w yzw~jny bAbn Emy w >nA mA bdy >tzwjw,b>drs fy Alsnp AlrAbEp Emry stTE$r snp >bwy bdw yjwzny lAbn Emy w >nA bdy$ Atjwzh
lkwny TAlbp w ﺃryd >n >kml drAsty qbl AlzwAj,ElAxATr$ >nA <ytwdywnt w HAbp nkml qrAyty qbl AlzwAj,xATrmAh >nA <ytwdywnt w HAbp nkml qrAyty qbl AlzwAz,>by gSbny EAljAzp mnw bdwn mA yst$yrny frfDt,>bwy gSbny ElY Aljyzp mnh mn gyr mA y$Awrny frfDt
lkn tqAlydnA w tqAlyd ﺃby lA tsmH llbnt >n tbdy rﺃyhA,bSH EwAydnA w EwAyd bAbA mA txly$ AlTflp ﺗqwl rAyhA,xATrmAh >nA <ytwdywnt w HAbp nkml qrAyty qbl AlzwAz,l>ny TAlbp w bdy xl~S drAsty qbl AlzwAj,E$Any TAlbp w bdy >kml drAsty qbl Aljyzp
klAm Al>b hw Al*y ynf* w AlzwAj sykwn rgmAF Eny,bSH EwAydnA w EwAyd bAbA mA txly$ AlTflp ﺗqwl rAyhA,bSH EwAydnA w EwAyd bAbA mA txly$ AlTflp ﺗqﻮl rAyhA,bs EAdAtnA w EAdAt >by mA btsmH llbnt tETy r>yA,bs tqAlydnA w tqAlyd >bwy mA btsmH$ llbnt >nhA tETy r>yhA
klAm Al>b hw Al*y ynf* w AlzwAj sykwn rgmAF Eny,hdrp bAbAhA hy ly tm$y w AlzwAj bAlsyf ElyA,hdrp bAbAhA hy Ally tm$y w AlzwAz rAH ykwn bAlsyf ElyA,klAm Al>b hw Ally bym$y w AlzwAj rH ySyr gSbA Eny,klAm Al>b hw Ally bynf* w Aljyzp rAH tkwn gSbA Eny
tklmt mE >my lky tklmh،  fHAwlt lkn dwn jdwY,hdrt mEA ymA bA$ thdr mEAh syAt bSH blA fAydp,hdrt mE ywmA bAh thdr mEAh jrbt bSH blA fAydp,Hkyt mE >my ltHky mEw fHAwlt bs mn dwn fA}dp,Hkyt mE <my E$An tklmh fHAwlt bs bdwn fAydp
tklmt mE <xwty AlkbAr >yDA dwn jdwY,w hdrt mEA xwAtAty lkbAr bSH blA fAydp,w hdrt mE xAwty AlkbAr tAnA blA fAydp,Hkyt mE >xwAty AlkbAr bs kmAn mA fy ntyjp,Hkyt mE <xwty AlkbAr kmAn mn dwn fAydp
tklmt mE Abn Emy bxSwS mwDwE AlzwAj،  tfhm Al>mr w klm wAldh >yDA,hdrt mE wlyd Emy kwnsyrnwn Aswjy tAE AlzwAj fhm rAyy w hdr mE bAbAh hw tAny,hdrt mE wld Emy kwnsyrnwn Alswjy tAE AlzwAz fhm rAyy w hdr mE bAbAh hw tAnA,Hkyt mE Abn Emy bxSwS mwDwE AlzwAj tfhm AlmwDwE w kl~m wAldw kmAn,Hkyt mE Abn Emy bxSwS mwDwE Aljyzp tfhm AlmwDwE w klm >bwh kmAn
rfD >bwh w qAl lh : <*A lm ttzwj bnt Emk syqE xlAf mE Emk,mA qbl$ bAbAh w qAlw lwkAn mA ttzwj$ bnt Emk dwk ySrA bﺮwblAm mE Emk,mA qbl$ bAbAh w qﺎl lh kwn mA ttzws bnt Emk drk ySrY bﺮwblAm mE Emk,Hkyt mE Abn Emy bxSwS mwDwE AlzwAj tfhm AlmwDwE w kl~m wAldw kmAn,rfD >bwh w qAlh <*A mA tjwzt$ bnt Emk HywqE xlAf mE Emk
*hbt wEAwdt Altklm mE >by mrp vAnyp,rHt zdt hdrt mEA bAbA mrp AxrA,rHt zdt hdrt mE bAbA mrp >xrY,wAldw rfD w >l~w >nw <*A mA tzwjt bnt Emk rH ySyr xlAf mE Emk,rfD >bwh w qAlh <*A mA tjwzt$ bnt Emk HywqE xlAf mE Emk
klmth En drAsty Alty lm >kmlhA bEd w En mstqbly,hdrt mEAh ElY lqrAyp tAEy ly mAzAl mA kmlthA$ w ElY lAqﻮnyr tAEy,hdrt mEAh ElY AlqrAyp tyEy Ally mzlt mA kmlthA$ w ElY lAfwnyr tyEy,rHt w HAkyt >by mrp tAnyp,rHt wEAwdt Hkyt mE >bwy mrp tAnyp
twfyt >mh ywm wlAdth w trkth wHydA,nhAr ly AzAd mAtt ymAh w xlAtw wHdw,hdrt mEAh ElY AlqrAyp tyEy Ally mzlt mA kmlthA$ w ElY lAfwnyr tyEy,Hkytlw En drAsty Ally mA km~ltA w En mstqbly,Hkytlh En drAsty Ally mA kmlthA$ lsh w En mstqbly
AHtAr wAldh fy trbyth،  f>x*h <lY xAlth lyEy$ mE >bnA}hA ﻷnh m$gwl fy >EmAlh SbAHA w msA'A,nhAr ly AzAd mAtt ymAh w xlAtw wHdw,mAtt >mh AlnhAr Ally wld w xlAth wHdh,twf~t mymtw ywm wlAdtw w trktw lHAlw,twft >mh ywm mA wldth w sAbth wHyd
AHtAr wAldh fy trbyth،  f>x*h <lY xAlth lyEy$ mE >bnA}hA ﻷnh m$gwl fy >EmAlh SbAHA w msA'A,HAr bAbAh fy Altrbyh tAEw dAh lxAltw bA$ yEy$ mEA wlAdhA ElAxATr$ lAty fy Alxdmp tAEw SbAH w E$yp,HAr bAbAh kyf mAh yrbyh dAh lxAlth bAh yEy$ mE wlAdhA xATrmAk$ lAty fy Alxdmp tyEh SbAH w E$yp,AHtAr Abwh btrbAytw w >xdw lxAltw ltrbyh mE wlAdA l>nw m$gwl b$glw SbH w msA,<HtAr >bwh fy trbyth f>xdh lxAlth lyEy$ mE wlAdhA E$Anh m$gwl fy >EmAlh SbH w msA'
tzwj ﺃbwh bEd sbEp >$hr mn wfAp zwjth w >tY bwldh lyEy$ mEh,tzwj bAbAh bEd sbE $hr mn Almwt tAE mrtw jAb wlydw bA$ yEy$ mEAh,Azwz bAbAh bEd sbEp $hr mn Almwt tAE mrth jAb wldh bAh yEy$ mEAh,>bwh tzwj bEd sbE $hwr mn wfAp zwjtw w jAb Abnw yEy$ mEw,tjwz >bwh bEd sbEp >$hr mn wfAp mrth w jAb Abnh lyEy$ mEh
w bEd mDy vlAv snwAt >njbt lh Alzwjp Aljdydp bntyn w wldA,ky fAtt tlt snyn wldt mrtw Aljdydp zwj bnAt w wld,ky fAtt tlAth snyn wldt mrth Aljdydp zwz bnAt w Tfl,w bEd tlAt snyn jAbtlw mrtw Aljdydp bntyn w Sby,w bEd mA mrt vlAv snyn jAbtlh mrth Aljdydp bntyn w wld
zwjp Al>b lA thtm bAlSgyr Al*y lm ytjAwz AlrAbEp mn Emrh,mrt bAbAh mA ElAbAlhA$ bAlwld ly Emrw mA yfwt$ rbE snyn,mrt bAbAh mA tthlA$ bAlTfl Ally Emrh mA yfwt$ rbEp snyn,mrt >bwh mA btltk$ bAlSgyr Ally bEd mA SAr Emrw >rbE snyn,mrt >bwh mA bthtm$ bAlSgyr Ally mA EdA$ Emrh Al>rbE snyn
thtm bh AlxAdmp dA}mA w tqwm >yDA b>EmAl Albyt,dAymn ttlhY byh AlxdAmp w tdyr tAny AlmynAj tAE AldAr,dymA ttlhY byh AlxdAmp w Adyr tAnA AlmynAj tAE AldAr,mrt >bwh mA btltk$ bAlSgyr Ally bEd mA SAr Emrw >rbE snyn,dA}mA thtm fyh Al$gAlp w t$tgl kmAn b$gl AldAr
