dialect,sentence_id,token_index,word,morphological_segment,pos_tag
Maghrebi,4B_54,8,تاثر,تاثر,V
Maghrebi,4B_55,9,على,على,PREP
Maghrebi,4B_56,10,الانتخابات,ال+انتخاب+ات,DET+NOUN+NSUFF
Maghrebi,4B_57,11,والعنصرية,و+ال+عنصري+ة,CONJ+DET+NOUN+NSUFF
Maghrebi,4B_58,12,في,في,PREP
Maghrebi,4B_59,13,كل,كل,NOUN
Maghrebi,4B_60,14,اروبا,اروبا,NOUN
Maghrebi,5A_61,1,أنا,أنا,PRON
Maghrebi,5A_62,2,مانسيتش,ما+نسيت+ش,PART+V+NEG_PART
Maghrebi,5A_63,3,بلي,بلي,ADV
Maghrebi,5A_64,4,أنيس,أنيس,NOUN
Maghrebi,5A_65,5,صوت,صوت,V
Maghrebi,5A_66,6,ضد,ضد,NOUN
Maghrebi,5A_67,7,سوكا,سوكا,NOUN
Maghrebi,5A_68,8,وبلي,و+ب+لي,CONJ+PREP+PART
Maghrebi,5A_69,9,هدر,هدر,V
Maghrebi,5A_70,10,على,على,PREP
Maghrebi,5A_71,11,سوها,سوها,NOUN
Maghrebi,5A_72,12,مي,مي,PART
Maghrebi,5A_73,13,راه,را+ه,V+PRON
Maghrebi,5A_74,14,ولد,ولد,NOUN
Maghrebi,5A_75,15,مغرب,مغرب,NOUN
Maghrebi,5A_76,16,لعربي,ل+عربي,DET+ADJ
Maghrebi,5A_77,17,يا,يا,PART
Maghrebi,5A_78,18,صوتو,صوت+و,V+PRON
Maghrebi,5A_79,19,يا,يا,PART
Maghrebi,5A_80,20,سكتو,سكت+و,V+PRON
Maghrebi,5A_81,21,ماشي,ماشي,PART
Maghrebi,5A_82,22,توقفو,توقف+و,V+PRON
Maghrebi,5A_83,23,ضدو,ضد+و,NOUN+PRON
Maghrebi,5A_84,24,#المغرب_مع_انيس,#المغرب_مع_انيس,HASH
Maghrebi,5A_85,25,…,…,PUNC
Maghrebi,4A_86,1,-,-,PUNC
Maghrebi,4A_87,2,إلا,إلا,PART
Maghrebi,4A_88,3,كنتي,كنت+ي,V+PRON
Maghrebi,4A_89,4,راجل,راجل,NOUN
Maghrebi,4A_90,5,هبط,هبط,V
Maghrebi,4A_91,6,-,-,PUNC
Maghrebi,4A_92,7,أنا,أنا,PRON
Maghrebi,4A_93,8,راجل,راجل,NOUN
Maghrebi,4A_94,9,و,و,CONJ
Maghrebi,4A_95,10,لكن,لكن,PART
Maghrebi,4A_96,11,موحال,موحال,NOUN
Maghrebi,4A_97,12,واش,واش,PART
Maghrebi,4A_98,13,مراتي,مرا+ت+ي,NOUN+NSUFF+PRON
Maghrebi,4A_99,14,تخليني,تخلي+ني,V+PRON
Maghrebi,4A_100,15,نهبط,نهبط,V
Maghrebi,4A_101,16,فهاد,ف+هاد,PREP+PRON
Maghrebi,4A_102,17,الساعة,ال+ساع+ة,DET+NOUN+NSUFF
Maghrebi,4A_103,18,😒,😒,EMOT
Maghrebi,4A_104,1,احب,احب,V
Maghrebi,4A_105,2,ريحه,ريح+ه,NOUN+NSUFF
Maghrebi,4A_106,3,اقلام,اقلام,NOUN
Maghrebi,4A_107,4,السبوره,ال+سبور+ه,DET+NOUN+NSUFF
Maghrebi,4A_108,5,يخي,يخي,PART
Maghrebi,4A_109,6,كذا,كذا,PRON
Maghrebi,4A_110,7,فيها,في+ها,PREP+PRON
Maghrebi,4A_111,8,شي,شي,NOUN
Maghrebi,4A_112,9,اخخ,اخخ,NOUN
Maghrebi,4A_113,10,بس,بس,ADV
Maghrebi,4A_114,11,جمال,جمال,NOUN
Maghrebi,3B_115,1,#HananeElKhader,#HananeElKhader,HASH
Maghrebi,3B_116,2,احلى,احلى,ADJ
Maghrebi,3B_117,3,ربورتاج,ربورتاج,NOUN
Maghrebi,3B_118,4,فهاد,ف+هاد,PREP+PRON
Maghrebi,3B_119,5,الموسم,ال+موسم,DET+NOUN
Maghrebi,3B_120,6,هو,هو,PRON
Maghrebi,3B_121,7,ربورناج,ربورناج,NOUN
Maghrebi,3B_122,8,حنان,حنان,NOUN
Maghrebi,3B_123,9,فباريس,ف+باريس,PREP+NOUN
Maghrebi,3B_124,10,شكون,شكون,PART
Maghrebi,3B_125,11,متافق,متافق,ADJ
Maghrebi,3B_126,12,انها,ان+ها,PART+PRON
Maghrebi,3B_127,13,سلطاانة,سلطاان+ة,NOUN+NSUFF
Maghrebi,3B_128,14,الموسم,ال+موسم,DET+NOUN
Maghrebi,3B_129,15,بامتياز,ب+امتياز,PREP+NOUN
Maghrebi,3A_130,1,#AnisBourahla,#AnisBourahla,HASH
Maghrebi,3A_131,2,#IhabAmir,#IhabAmir,HASH
Maghrebi,3A_132,3,احنا,احنا,PRON
Maghrebi,3A_133,4,ولادنا,ولاد+نا,NOUN+PRON
Maghrebi,3A_134,5,اعطاوهم,اعطا+و+هم,V+PRON+PRON
Maghrebi,3A_135,6,رحلة,رحل+ة,NOUN+NSUFF
Maghrebi,3A_136,7,لمصر,ل+مصر,PREP+NOUN
Maghrebi,3A_137,8,والأردن,و+ال+أردن,CONJ+DET+NOUN
Maghrebi,3A_138,9,وبعتو,و+بعت+و,CONJ+V+PRON
Maghrebi,3A_139,10,معم,مع+م,CONJ+PRON
Maghrebi,3A_140,11,LES,LES,FOREIGN
Maghrebi,3A_141,12,GARDES,GARDES,FOREIGN
Maghrebi,3A_142,13,بسباس,بسباس,NOUN
Maghrebi,3A_143,14,والمهرج,و+ال+مهرج,CONJ+DET+NOUN
Maghrebi,3A_144,15,باش,باش,PART
Maghrebi,3A_145,16,يعسوهم,يعس+و+هم,V+PRON+PRON
Maghrebi,3A_146,17,تفوه,تفوه,V
Maghrebi,2A_147,1,اخذي,اخذ+ي,V+PRON
Maghrebi,2A_148,2,من,من,PREP
Maghrebi,2A_149,3,الي,الي,PART
Maghrebi,2A_150,4,كان,كان,V
Maghrebi,2A_151,5,بغيك,بغي+ك,V+PRON
Maghrebi,2A_152,6,بزاف,بزاف,ADV
Maghrebi,2A_153,7,نموت,نموت,V
Maghrebi,2A_154,8,عليك,علي+ك,PREP+PRON
Maghrebi,2A_155,9,•,•,PUNC
Maghrebi,2A_156,10,ابرك,ابرك,V
Maghrebi,2A_157,11,من,من,PREP
Maghrebi,2A_158,12,وجهين,وجه+ين,NOUN+NSUFF
Maghrebi,2A_159,13,واي,و+اي,CONJ+PRON
Maghrebi,2A_160,14,وانتا,و+انتا,CONJ+PRON
Maghrebi,2A_161,15,👏,👏,EMOT
Maghrebi,2A_162,16,👏,👏,EMOT
Maghrebi,5A_163,1,#كلاسيكيات_الابتدائي,#كلاسيكيات_الابتدائي,HASH
Maghrebi,5A_164,2,استادة,استاد+ة,NOUN+NSUFF
Maghrebi,5A_165,3,تسالالي,تسالا+ل+ي,V+PREP+PRON
Maghrebi,5A_166,4,الدفتر,ال+دفتر,DET+NOUN
Maghrebi,5A_167,5,.,.,PUNC
Maghrebi,5A_168,6,.,.,PUNC
Maghrebi,5A_169,7,واش,واش,PART
Maghrebi,5A_170,8,نكمل,نكمل,V
Maghrebi,5A_171,9,فالكرطونة,ف+ال+كرطون+ة,PREP+DET+NOUN+NSUFF
Maghrebi,5A_172,10,؟,؟,PUNC
Maghrebi,5A_173,1,@MajdaNasiri,@MajdaNasiri,MENTION
Maghrebi,5A_174,2,اسمها,اسم+ها,NOUN+NSUFF
Maghrebi,5A_175,3,noha,noha,URL
Maghrebi,5A_176,4,azz,azz,FOREIGN
Maghrebi,5A_177,5,راه,را+ه,PART+PRON
Maghrebi,5A_178,6,كنبلوكيو,ك+نبلوكي+و,PROG_PART+V+PRON
Maghrebi,5A_179,7,ها,ها,PRON
Maghrebi,5A_180,8,دخلي,دخل+ي,V+PRON
Maghrebi,5A_181,9,حتى,حتى,PART
Maghrebi,5A_182,10,نتي,نتي,PRON
Maghrebi,5A_183,11,بلوكها,بلوك+ها,V+PRON
Maghrebi,1B_184,1,اكدولي,اكد+و+ل+ي,V+PRON+PREP+NSUFF
Maghrebi,1B_185,2,على,على,PREP
Maghrebi,1B_186,3,👇,👇,EMOT
Maghrebi,1B_187,4,🏻,🏻,EMOT
Maghrebi,1B_188,5,تريكو,تريكو,NOUN
Maghrebi,1B_189,6,تاع,تاع,PREP
Maghrebi,1B_190,7,شبيبة,شبيب+ة,NOUN+NSUFF
Maghrebi,1B_191,8,👕,👕,EMOT
Maghrebi,1B_192,9,كوفيرتة,كوفيرت+ة,NOUN+NSUFF
Maghrebi,1B_193,10,تاع,تاع,PREP
Maghrebi,1B_194,11,نمر,نمر,NOUN
Maghrebi,1B_195,12,مت,مت,PREP
Maghrebi,1B_196,13,كثر,كثر,NOUN
Maghrebi,1B_197,14,لغسيل,ل+غسيل,DET+NOUN
Maghrebi,1B_198,15,ولا,ولا,V
Maghrebi,1B_199,16,فهد,فهد,NOUN
Maghrebi,1B_200,17,🐅,🐅,EMOT
Maghrebi,1B_201,18,🐆,🐆,EMOT
Maghrebi,1B_202,19,#Souhilabenlachhab,#Souhilabenlachhab,HASH
Maghrebi,1B_203,20,#IhabAmir,#IhabAmir,HASH
Maghrebi,1B_204,21,#StaracArabia,#StaracArabia,HASH
Maghrebi,1B_205,22,https:,https:,URL
Maghrebi,1B_206,23,…,…,PUNC
Maghrebi,3A_207,1,@Fatimae06,@Fatimae06,MENTION
Maghrebi,3A_208,2,اكيد,اكيد,ADV
Maghrebi,3A_209,3,وليسا,و+ليسا,CONJ+V
Maghrebi,3A_210,4,لي,لي,PART
Maghrebi,3A_211,5,جاي,جاي,V
Maghrebi,3A_212,6,احلي,احلي,ADJ
Maghrebi,3A_213,7,بلييز,بلييز,NOUN
Maghrebi,3A_214,8,فاتي,فاتي,NOUN
Maghrebi,3A_215,9,مالي,ما+ل+ي,PART+PREP+PRON
Maghrebi,3A_216,10,تهضرو,تهضر+و,V+PRON
Maghrebi,3A_217,11,معاها,معا+ها,NOUN+PRON
Maghrebi,3A_218,12,غدا,غد+ا,NOUN+CASE
Maghrebi,3A_219,13,عاودو,عاود+و,V+PRON
Maghrebi,3A_220,14,ليها,لي+ها,PREP+PRON
Maghrebi,3A_221,15,الهدرة,ال+هدر+ة,DET+NOUN+NSUFF
Maghrebi,3A_222,16,ديال,ديال,PREP
Maghrebi,3A_223,17,اليوم,ال+يوم,DET+NOUN
Maghrebi,1A_224,1,#كلاسيكيات_الابتدائي,#كلاسيكيات_الابتدائي,HASH
Maghrebi,1A_225,2,الا,الا,PART
Maghrebi,1A_226,3,بغيتي,بغيت+ي,V+PRON
Maghrebi,1A_227,4,تلقا,تلقا,V
Maghrebi,1A_228,5,الديجيمون,ال+ديجيمون,DET+NOUN
Maghrebi,1A_229,6,الغابر,ال+غابر,DET+ADJ
Maghrebi,1A_230,7,شري,شر+ي,V+PRON
Maghrebi,1A_231,8,بيمو,بيمو,NOUN
Maghrebi,1A_232,9,ديال,ديال,PREP
Maghrebi,1A_233,10,مرجان,مرجان,NOUN
Maghrebi,5B_234,1,@imaneaymane5,@imaneaymane5,MENTION
Maghrebi,5B_235,2,@lhobHanounaRafa,@lhobHanounaRafa,MENTION
Maghrebi,5B_236,3,البنات,ال+بن+ات,DET+NOUN+NSUFF
Maghrebi,5B_237,4,بليز,بليز,NOUN
Maghrebi,5B_238,5,الله,الله,NOUN
Maghrebi,5B_239,6,يخلي,يخل+ي,V+PRON
Maghrebi,5B_240,7,ليكم,لي+كم,PREP+PRON
Maghrebi,5B_241,8,معز,معز,ADJ
Maghrebi,5B_242,9,عندكم,عند+كم,NOUN+PRON
Maghrebi,5B_243,10,بلا,ب+لا,PREP+PART
Maghrebi,5B_244,11,منفرقو,م+نفرق+و,PART+V+PRON
Maghrebi,5B_245,12,ولادنا,ولاد+نا,NOUN+PRON
Maghrebi,5B_246,13,رَآه,رآ+ه,PART+PRON
Maghrebi,5B_247,14,من,من,PREP
Maghrebi,5B_248,15,قبيلة,قبيل+ة,NOUN+NSUFF
Maghrebi,5B_249,16,و,و,CONJ
Maghrebi,5B_250,17,انا,انا,PRON
Maghrebi,5B_251,18,كنبكي,ك+نبكي,PROG_PART+V
Maghrebi,5B_252,19,بسباب,ب+سباب,PREP+NOUN
Maghrebi,5B_253,20,هادشي,هاد+شي,PRON+NOUN
Maghrebi,5B_254,21,ب,ب,PREP
Maghrebi,5B_255,22,…,…,PUNC
Maghrebi,5A_256,1,البنت,ال+بنت,DET+NOUN
Maghrebi,5A_257,2,صدقات,صدق+ات,V+PRON
Maghrebi,5A_258,3,مراة,مرا+ة,NOUN+NSUFF
Maghrebi,5A_259,4,لاخر,ل+اخر,DET+NOUN
Maghrebi,5A_260,5,گالت,گال+ت,V+PRON
Maghrebi,5A_261,6,لواكيل,ل+واكيل,PREP+NOUN
Maghrebi,5A_262,7,المليك,ال+مليك,DET+NOUN
Maghrebi,5A_263,8,كنت,كن+ت,V+PRON
Maghrebi,5A_264,9,ا,ا,PART
Maghrebi,5A_265,10,سيدي,سيد+ي,NOUN+PRON
Maghrebi,5A_266,11,مع,مع,CONJ
Maghrebi,5A_267,12,راجلي,راجل+ي,NOUN+PRON
Maghrebi,5A_268,13,تا,تا,ADV
Maghrebi,5A_269,14,جا,جا,V
Maghrebi,5A_270,15,هجم,هجم,V
Maghrebi,5A_271,16,علينا,علي+نا,PREP+PRON
Maghrebi,5A_272,17,هاد,هاد,PRON
Maghrebi,5A_273,18,السيد,ال+سيد,DET+NOUN
Maghrebi,5A_274,19,😂,😂,EMOT
Maghrebi,5A_275,20,صاحبي,صاحب+ي,NOUN+PRON
Maghrebi,5A_276,21,ما,ما,PART
Maghrebi,5A_277,22,فهم,فهم,V
Maghrebi,5A_278,23,تا,تا,ADV
Maghrebi,5A_279,24,حاجة,حاج+ة,NOUN+NSUFF
Maghrebi,5A_280,25,من,من,PREP
Maghrebi,5A_281,26,ديك,ديك,PRON
Maghrebi,5A_282,27,الساع,ال+ساع,DET+NOUN
Maghrebi,5A_283,28,و,و,CONJ
Maghrebi,5A_284,29,هو,هو,PRON
Maghrebi,5A_285,30,حاقد,حاقد,ADJ
Maghrebi,3A_286,1,التخبية,ال+تخبي+ة,DET+NOUN+NSUFF
Maghrebi,3A_287,2,ديال,ديال,PREP
Maghrebi,3A_288,3,لاتروس,لاتروس,NOUN
Maghrebi,3A_289,4,على,على,PREP
Maghrebi,3A_290,5,مولاها,مولا+ها,NOUN+NSUFF
Maghrebi,3A_291,6,حتى,حتى,ADV
Maghrebi,3A_292,7,يقرب,يقرب,V
Maghrebi,3A_293,8,يشكم,يشكم,V
Maghrebi,3A_294,9,للمعلمة,ل+ال+معلم+ة,PREP+DET+NOUN+NSUFF
Maghrebi,3A_295,10,#كلاسيكيات_الابتدائي,#كلاسيكيات_الابتدائي,HASH
Maghrebi,1A_296,1,التمكريه,ال+تمكريه,DET+NOUN
Maghrebi,1A_297,2,ديال,ديال,PREP
Maghrebi,1A_298,3,تحط,تحط,V
Maghrebi,1A_299,4,كلاسور,كلاسور,NOUN
Maghrebi,1A_300,5,في,في,PREP
Maghrebi,1A_301,6,الطاولة,ال+طاول+ة,DET+NOUN+NSUFF
Maghrebi,1A_302,7,باش,باش,PART
Maghrebi,1A_303,8,ماينقلش,ما+ينقل+ش,PART+V+PART
Maghrebi,1A_304,9,منك,من+ك,PREP+PRON
Maghrebi,1A_305,10,صاحبك,صاحب+ك,NOUN+PRON
Maghrebi,1A_306,11,#كلاسيكيات_الابتدائي,#كلاسيكيات_الابتدائي,HASH
Maghrebi,3A_307,1,الخلعة,ال+خلع+ة,DET+NOUN+NSUFF
Maghrebi,3A_308,2,لي,لي,PART
Maghrebi,3A_309,3,فيا,في+ا,PREP+PRON
Maghrebi,3A_310,4,على,على,PREP
Maghrebi,3A_311,5,حنان,حنان,NOUN
Maghrebi,3A_312,6,نضت,نض+ت,V+PRON
Maghrebi,3A_313,7,سرقت,سرق+ت,V+PRON
Maghrebi,3A_314,8,تيليفونات,تيليفون+ات,NOUN+NSUFF
Maghrebi,3A_315,9,ديال,ديال,PREP
Maghrebi,3A_316,10,ما,ما,NOUN
Maghrebi,3A_317,11,لين,لين,NOUN
Maghrebi,3A_318,12,دار,دار,NOUN
Maghrebi,3A_319,13,من,من,PREP
Maghrebi,3A_320,14,ماما,ماما,NOUN
Maghrebi,3A_321,15,جدتي,جد+ت+ي,NOUN+NSUFF+PRON
Maghrebi,3A_322,16,خويا,خو+يا,NOUN+PRON
Maghrebi,3A_323,17,اختي,اخت+ي,NOUN+PRON
Maghrebi,3A_324,18,او,او,CONJ
Maghrebi,3A_325,19,صوت,صوت,V
Maghrebi,3A_326,20,ليها,لي+ها,PREP+PRON
Maghrebi,3A_327,21,خيت,خيت,ADV
Maghrebi,3A_328,22,صوت,صوت,NOUN
Maghrebi,3A_329,23,واحد,واحد,ADJ
Maghrebi,3A_330,24,اقدر,اقدر,V
Maghrebi,3A_331,25,ادير,ادير,V
Maghrebi,3A_332,26,الفرق,ال+فرق,DET+NOUN
Maghrebi,3A_333,27,…,…,PUNC
Maghrebi,2B_334,1,الدار,ال+دار,DET+NOUN
Maghrebi,2B_335,2,البيضاء,ال+بيضاء,DET+ADJ
Maghrebi,2B_336,3,هي,هي,PRON
Maghrebi,2B_337,4,بوعو,بوعو,NOUN
Maghrebi,2B_338,5,ديال,ديال,PREP
Maghrebi,2B_339,6,المغرب,ال+مغرب,DET+NOUN
Maghrebi,2B_340,7,.,.,PUNC
Maghrebi,2B_341,8,D:,D:,EMOT
Maghrebi,5B_342,1,#كلاسيكيات_الابتدائي,#كلاسيكيات_الابتدائي,HASH
Maghrebi,5B_343,2,الدراري,ال+دراري,DET+NOUN
Maghrebi,5B_344,3,لاعبين,لاعب+ين,NOUN+NSUFF
Maghrebi,5B_345,4,طاقرباق,طاقرباق,NOUN
Maghrebi,5B_346,5,بالتصاور,ب+ال+تصاور,PREP+DET+NOUN
Maghrebi,5B_347,6,تاع,تاع,PREP
Maghrebi,5B_348,7,بانيني,بانيني,NOUN
Maghrebi,5B_349,8,فالاستراحة,ف+ال+استراح+ة,PREP+DET+NOUN+NSUFF
Maghrebi,5B_350,9,.,.,PUNC
Maghrebi,3B_351,1,الدفاتر,ال+دفاتر,DET+NOUN
Maghrebi,3B_352,2,ديال,ديال,PREP
Maghrebi,3B_353,3,24,24,NUM
Maghrebi,3B_354,4,رقة,رق+ة,NOUN+NSUFF
Maghrebi,3B_355,5,ومصور,و+مصور,CONJ+ADJ
Maghrebi,3B_356,6,فيهم,في+هم,PREP+PRON
Maghrebi,3B_357,7,نمر,نمر,NOUN
Maghrebi,3B_358,8,وجدول,و+جدول,CONJ+NOUN
Maghrebi,3B_359,9,الضرب,ال+ضرب,DET+NOUN
Maghrebi,3B_360,10,#كلاسيكيات_الابتدائي,#كلاسيكيات_الابتدائي,HASH
Maghrebi,5A_361,1,#Souhilabenlachhab,#Souhilabenlachhab,HASH
Maghrebi,5A_362,2,#IhabAmir,#IhabAmir,HASH
Maghrebi,5A_363,3,#StaracArabia,#StaracArabia,HASH
Maghrebi,5A_364,4,السقاية,ال+سقاي+ة,DET+NOUN+NSUFF
Maghrebi,5A_365,5,الجديدة,ال+جديد+ة,DET+ADJ+NSUFF
Maghrebi,5A_366,6,ديال,ديال,PREP
Maghrebi,5A_367,7,الدرب,ال+درب,DET+NOUN
Maghrebi,5A_368,8,.,.,PUNC
Maghrebi,5A_369,9,.,.,PUNC
Maghrebi,5A_370,10,فيفتي,فيفتي,NOUN
Maghrebi,5A_371,11,/,/,PUNC
Maghrebi,5A_372,12,فيفتي,فيفتي,NOUN
Maghrebi,5A_373,13,.,.,PUNC
Maghrebi,5A_374,14,.,.,PUNC
Maghrebi,5A_375,15,ما,ما,PART
Maghrebi,5A_376,16,مفاكينش,م+فاك+ين+ش,PART+V+PRON+NEG_PART
Maghrebi,5A_377,17,!!!!,!!!!,PUNC
Maghrebi,5A_378,18,كونوا,كون+وا,V+PRON
Maghrebi,5A_379,19,شاهدين,شاهد+ين,NOUN+NSUFF
Maghrebi,5A_380,20,htt,htt,URL
Maghrebi,5A_381,21,…,…,PUNC
Maghrebi,1B_382,1,@aissa_lakehal,@aissa_lakehal,MENTION
Maghrebi,1B_383,2,السوهابين,ال+سوهاب+ين,DET+NOUN+NSUFF
Maghrebi,1B_384,3,واجدين,واجد+ين,ADJ+NSUFF
Maghrebi,1B_385,4,خويا,خو+يا,NOUN+PRON
Maghrebi,1B_386,5,عيسى,عيسى,NOUN
Maghrebi,1B_387,6,من,من,PREP
Maghrebi,1B_388,7,درك,درك,ADV
Maghrebi,1B_389,8,في,في,PREP
Maghrebi,1B_390,9,خاطر,خاطر,NOUN
Maghrebi,1B_391,10,حبيبتنا,حبيب+ت+نا,NOUN+NSUFF+PRON
Maghrebi,1B_392,11,ساهو,ساهو,NOUN
Maghrebi,1B_393,12,وسكارة,و+سكار+ة,CONJ+NOUN+NSUFF
Maghrebi,1B_394,13,في,في,PREP
Maghrebi,1B_395,14,الغيارين,ال+غيار+ين,DET+ADJ+NSUFF
Maghrebi,3A_396,1,السيد,ال+سيد,DET+NOUN
Maghrebi,3A_397,2,سكران,سكران,ADJ
Maghrebi,3A_398,3,و,و,CONJ
Maghrebi,3A_399,4,تودر,تودر,V
Maghrebi,3A_400,5,ليه,لي+ه,PREP+PRON
Maghrebi,3A_401,6,السيدي,ال+سيدي,DET+NOUN
Maghrebi,3A_402,7,ديال,ديال,PREP
Maghrebi,3A_403,8,اعتابو,اعتابو,NOUN
Maghrebi,2B_404,1,العالم,ال+عالم,DET+NOUN
Maghrebi,2B_405,2,عبارة,عبار+ة,NOUN+NSUFF
Maghrebi,2B_406,3,عن,عن,PREP
Maghrebi,2B_407,4,5,5,NUM
Maghrebi,2B_408,5,دراهم,دراهم,NOUN
Maghrebi,2B_409,6,ديال,ديال,PREP
Maghrebi,2B_410,7,اللوز,ال+لوز,DET+NOUN
Maghrebi,2B_411,8,و,و,CONJ
Maghrebi,2B_412,9,المغرب,ال+مغرب,DET+NOUN
Maghrebi,2B_413,10,هو,هو,PRON
Maghrebi,2B_414,11,ديك,ديك,PRON
Maghrebi,2B_415,12,اللوزة,ال+لوز+ة,DET+NOUN+NSUFF
Maghrebi,2B_416,13,الحارة,ال+حار+ة,DET+ADJ+NSUFF
Maghrebi,3B_417,1,الفانز,ال+فانز,DET+NOUN
Maghrebi,3B_418,2,الي,الي,PART
Maghrebi,3B_419,3,خايفين,خايف+ين,ADJ+NSUFF
Maghrebi,3B_420,4,على,على,PREP
Maghrebi,3B_421,5,ولادهم,ولاد+هم,NOUN+PRON
Maghrebi,3B_422,6,نحب,نحب,V
Maghrebi,3B_423,7,نقوليكم,نقو+لي+كم,V+PREP+PRON
Maghrebi,3B_424,8,راه,را+ه,PART+PRON
Maghrebi,3B_425,9,الشياطين,ال+شياطين,DET+NOUN
Maghrebi,3B_426,10,باقين,باق+ين,V+PRON
Maghrebi,3B_427,11,الداخل,ال+داخل,DET+NOUN
Maghrebi,3B_428,12,اما,اما,PART
Maghrebi,3B_429,13,الي,الي,PART
Maghrebi,3B_430,14,خايفين,خايف+ين,ADJ+NSUFF
Maghrebi,3B_431,15,منهم,من+هم,PREP+PRON
Maghrebi,3B_432,16,غير,غير,NOUN
Maghrebi,3B_433,17,ملائكة,ملائك+ة,NOUN+NSUFF
Maghrebi,3B_434,18,#IhabAmir,#IhabAmir,HASH
Maghrebi,3B_435,19,#SouhilaBenL,#SouhilaBenL,HASH
Maghrebi,3B_436,20,…,…,PUNC
Maghrebi,2A_437,1,#كلاسيكيات_الابتدائي,#كلاسيكيات_الابتدائي,HASH
Maghrebi,2A_438,2,القراية,ال+قراي+ة,DET+NOUN+NSUFF
Maghrebi,2A_439,3,فالقسم,ف+ال+قسم,PREP+DET+NOUN
Maghrebi,2A_440,4,كاتمشي,كا+تمشي,PROG_PART+V
Maghrebi,2A_441,5,تجيب,تجيب,V
Maghrebi,2A_442,6,العصا,ال+عصا,DET+NOUN
Maghrebi,2A_443,7,لالستاذ,ل+ال+ستاذ,PREP+DET+NOUN
Maghrebi,5A_444,1,الكسول,ال+كسول,DET+ADJ
Maghrebi,5A_445,2,ديال,ديال,PREP
Maghrebi,5A_446,3,القسم,ال+قسم,DET+NOUN
Maghrebi,5A_447,4,ديما,ديما,ADV
Maghrebi,5A_448,5,كيبلغ,ك+يبلغ,PROG_PART+V
Maghrebi,5A_449,6,هو,هو,PRON
Maghrebi,5A_450,7,الاول,ال+اول,DET+NOUN
